LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

0.0 6000 xlo xhi
0.0 6000 ylo yhi
0.0 6000 zlo zhi

Masses

1 221851.699
2 422051.6999

Atoms

689 2  2043.321 327.284 70.988
690 2  22.443 648.476 3187.594
691 2  4107.196 2139.449 1848.654
692 2  239.553 2077.533 643.913
693 2  1212.725 869.572 1396.166
694 2  829.939 492.876 1611.629
695 2  1688.946 516.248 815.295
696 2  1755.633 297.373 67.627
697 2  6.196 2329.060 11.916
698 2  2381.060 1725.772 4361.230
699 2  1379.470 324.488 0.000
700 2  1250.701 217.635 542.962
701 2  3182.390 2009.925 2017.120
702 2  1408.945 1025.681 832.706
703 2  1451.980 660.791 559.929
704 2  437.838 302.071 1084.235
705 2  2113.572 29.071 2287.352
706 2  1211.279 2.297 718.122
707 2  276.330 742.396 2.150
708 2  1294.843 195.853 1646.040
709 2  782.710 281.214 1451.551
710 2  548.660 618.475 2857.998
711 2  4694.762 1491.213 0.000
712 2  353.836 471.792 1184.909
713 2  753.707 4223.330 1163.522
714 2  151.170 1052.366 477.609
715 2  800.466 2.814 1434.440
716 2  0.000 4328.450 461.518
717 2  270.757 1284.134 1518.064
718 2  3090.708 2895.716 1051.827
719 2  1161.449 502.866 1499.640
720 2  649.799 1574.846 807.119
721 2  1594.421 929.870 2651.744
722 2  1572.514 636.617 2236.475
723 2  1425.394 1074.544 1375.081
724 2  878.254 0.000 4279.256
725 2  1042.905 2126.945 549.346
726 2  1046.164 1035.685 793.859
727 2  1067.761 459.070 429.235
728 2  676.126 27.695 1601.075
729 2  4349.436 282.832 713.867
730 2  536.903 514.562 1219.486
731 2  688.002 856.281 195.098
732 2  3838.891 448.756 5714.825
733 2  0.000 1983.588 1762.861
734 2  0.000 365.341 1419.609
735 2  353.203 1127.498 607.072
736 2  0.839 2959.397 0.000
737 2  1559.974 1037.664 1048.041
738 2  722.760 633.462 1380.829
739 2  225.314 974.720 4141.604
740 2  50.598 6.235 1522.643
741 2  2838.537 5334.255 2548.253
742 2  1185.690 4114.964 5704.550
743 2  3230.318 2483.683 2410.751
744 2  3718.962 3283.058 3145.915
745 2  440.773 1247.962 0.000
746 2  1074.471 171.037 434.661
747 2  548.846 1231.497 651.333
748 2  678.283 828.843 1377.746
749 2  812.439 1072.632 150.528
750 2  1178.129 0.000 1322.866
751 2  2655.243 865.991 1122.165
752 2  1295.245 0.000 2172.564
753 2  540.513 875.731 1686.900
754 2  2334.294 102.649 312.236
755 2  914.207 123.875 1725.316
756 2  2400.375 2712.044 2727.257
757 2  819.236 1203.170 1296.482
758 2  2305.931 785.705 428.863
759 2  1289.527 2.305 1050.887
760 2  1428.534 750.623 12.846
761 2  917.295 713.297 833.712
762 2  2964.009 537.126 178.640
763 2  608.447 770.278 938.163
764 2  483.325 581.380 0.000
765 2  1704.743 1810.326 1751.076
766 2  941.392 1309.427 241.597
767 2  1091.037 1166.703 343.145
768 2  0.000 3.600 745.506
769 2  1218.276 1282.784 1726.059
770 2  1846.343 5780.761 3402.019
771 2  1391.130 455.184 1275.056
772 2  5.761 1810.233 553.432
773 2  1115.079 332.900 0.000
774 2  1084.395 2116.584 1271.912
775 2  0.000 254.013 325.098
776 2  1677.027 5993.710 2167.605
777 2  73.098 148.746 1421.819
